epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
60,305.331752,19.492743,2.83785e-01,1.86719e-01,4.89744e+00,3.49140e-01,2.32817e-01,5.91638e+00,3.55887e-01,2.38254e-01,6.02017e+00
61,309.921279,19.832024,2.80094e-01,1.83123e-01,4.83374e+00,3.46633e-01,2.30003e-01,5.87390e+00,3.53478e-01,2.35526e-01,5.97942e+00
62,314.474035,20.168823,2.76465e-01,1.79714e-01,4.77112e+00,3.44159e-01,2.27362e-01,5.83198e+00,3.51097e-01,2.32969e-01,5.93915e+00
63,319.274845,20.479467,2.72893e-01,1.76482e-01,4.70946e+00,3.41709e-01,2.24884e-01,5.79047e+00,3.48737e-01,2.30572e-01,5.89922e+00
64,323.812266,20.778872,2.69371e-01,1.73409e-01,4.64869e+00,3.39278e-01,2.22549e-01,5.74926e+00,3.46391e-01,2.28316e-01,5.85954e+00
65,328.361816,21.098336,2.65896e-01,1.70471e-01,4.58871e+00,3.36858e-01,2.20327e-01,5.70825e+00,3.44053e-01,2.26172e-01,5.81998e+00
66,332.917214,21.410407,2.62462e-01,1.67636e-01,4.52946e+00,3.34443e-01,2.18184e-01,5.66734e+00,3.41716e-01,2.24103e-01,5.78045e+00
67,337.478648,21.751449,2.59066e-01,1.64876e-01,4.47086e+00,3.32030e-01,2.16086e-01,5.62644e+00,3.39375e-01,2.22075e-01,5.74086e+00
68,342.064425,22.097855,2.55706e-01,1.62170e-01,4.41286e+00,3.29612e-01,2.14009e-01,5.58547e+00,3.37026e-01,2.20064e-01,5.70112e+00
69,346.602676,22.430091,2.52378e-01,1.59508e-01,4.35543e+00,3.27186e-01,2.11943e-01,5.54437e+00,3.34665e-01,2.18060e-01,5.66118e+00
70,351.131063,22.751385,2.49081e-01,1.56889e-01,4.29854e+00,3.24749e-01,2.09885e-01,5.50306e+00,3.32287e-01,2.16059e-01,5.62096e+00
71,355.689452,23.089552,2.45815e-01,1.54311e-01,4.24217e+00,3.22297e-01,2.07834e-01,5.46151e+00,3.29891e-01,2.14062e-01,5.58041e+00
72,360.262399,23.431635,2.42577e-01,1.51774e-01,4.18629e+00,3.19827e-01,2.05788e-01,5.41966e+00,3.27471e-01,2.12067e-01,5.53949e+00
73,364.783155,23.742218,2.39368e-01,1.49277e-01,4.13091e+00,3.17337e-01,2.03749e-01,5.37747e+00,3.25027e-01,2.10074e-01,5.49815e+00
74,369.367342,24.075701,2.36187e-01,1.46821e-01,4.07602e+00,3.14826e-01,2.01714e-01,5.33491e+00,3.22557e-01,2.08082e-01,5.45636e+00
75,374.025945,24.420816,2.33035e-01,1.44406e-01,4.02162e+00,3.12291e-01,1.99682e-01,5.29195e+00,3.20057e-01,2.06090e-01,5.41407e+00
76,378.618577,24.770637,2.29912e-01,1.42032e-01,3.96772e+00,3.09730e-01,1.97655e-01,5.24856e+00,3.17527e-01,2.04098e-01,5.37127e+00
77,383.194055,25.107234,2.26817e-01,1.39703e-01,3.91431e+00,3.07143e-01,1.95633e-01,5.20471e+00,3.14965e-01,2.02108e-01,5.32793e+00
78,387.768868,25.434179,2.23751e-01,1.37420e-01,3.86141e+00,3.04527e-01,1.93619e-01,5.16039e+00,3.12369e-01,2.00121e-01,5.28402e+00
79,392.380108,25.778065,2.20715e-01,1.35186e-01,3.80900e+00,3.01881e-01,1.91613e-01,5.11556e+00,3.09738e-01,1.98138e-01,5.23952e+00
80,396.973839,26.127670,2.17707e-01,1.33002e-01,3.75710e+00,2.99205e-01,1.89619e-01,5.07021e+00,3.07071e-01,1.96162e-01,5.19440e+00
81,401.566744,26.458465,2.14728e-01,1.30868e-01,3.70568e+00,2.96497e-01,1.87635e-01,5.02431e+00,3.04367e-01,1.94192e-01,5.14866e+00
82,406.135380,26.760811,2.11777e-01,1.28784e-01,3.65475e+00,2.93755e-01,1.85662e-01,4.97786e+00,3.01624e-01,1.92229e-01,5.10226e+00
83,410.683459,27.072621,2.08853e-01,1.26747e-01,3.60429e+00,2.90980e-01,1.83699e-01,4.93083e+00,2.98842e-01,1.90271e-01,5.05519e+00
84,415.145795,27.388150,2.05956e-01,1.24757e-01,3.55429e+00,2.88169e-01,1.81743e-01,4.88320e+00,2.96019e-01,1.88316e-01,5.00744e+00
85,419.608130,27.696667,2.03083e-01,1.22813e-01,3.50473e+00,2.85323e-01,1.79792e-01,4.83496e+00,2.93155e-01,1.86361e-01,4.95900e+00
86,424.045806,27.998785,2.00235e-01,1.20916e-01,3.45558e+00,2.82439e-01,1.77845e-01,4.78610e+00,2.90249e-01,1.84405e-01,4.90984e+00
87,428.519640,28.319093,1.97410e-01,1.19065e-01,3.40681e+00,2.79518e-01,1.75902e-01,4.73660e+00,2.87300e-01,1.82447e-01,4.85996e+00
88,432.962082,28.638875,1.94604e-01,1.17262e-01,3.35840e+00,2.76559e-01,1.73960e-01,4.68646e+00,2.84309e-01,1.80487e-01,4.80935e+00
89,437.420138,28.962310,1.91818e-01,1.15507e-01,3.31032e+00,2.73561e-01,1.72019e-01,4.63566e+00,2.81273e-01,1.78521e-01,4.75801e+00
90,442.311559,29.271144,1.89049e-01,1.13799e-01,3.26253e+00,2.70524e-01,1.70071e-01,4.58420e+00,2.78194e-01,1.76541e-01,4.70592e+00
91,447.244141,29.609129,1.86295e-01,1.12137e-01,3.21501e+00,2.67448e-01,1.68109e-01,4.53207e+00,2.75072e-01,1.74543e-01,4.65310e+00
92,452.138515,29.924255,1.83555e-01,1.10523e-01,3.16771e+00,2.64332e-01,1.66134e-01,4.47927e+00,2.71905e-01,1.72523e-01,4.59953e+00
93,456.903748,30.240175,1.80825e-01,1.08956e-01,3.12060e+00,2.61177e-01,1.64144e-01,4.42580e+00,2.68695e-01,1.70481e-01,4.54522e+00
94,461.342685,30.569149,1.78105e-01,1.07437e-01,3.07367e+00,2.57982e-01,1.62140e-01,4.37166e+00,2.65441e-01,1.68419e-01,4.49018e+00
95,465.801136,30.900459,1.75393e-01,1.05964e-01,3.02687e+00,2.54748e-01,1.60123e-01,4.31686e+00,2.62144e-01,1.66338e-01,4.43442e+00
96,470.239979,31.229699,1.72688e-01,1.04536e-01,2.98017e+00,2.51476e-01,1.58094e-01,4.26140e+00,2.58805e-01,1.64237e-01,4.37794e+00
97,474.693997,31.551838,1.69987e-01,1.03148e-01,2.93357e+00,2.48165e-01,1.56052e-01,4.20530e+00,2.55424e-01,1.62118e-01,4.32075e+00
98,479.201382,31.890931,1.67291e-01,1.01795e-01,2.88703e+00,2.44816e-01,1.53999e-01,4.14856e+00,2.52003e-01,1.59982e-01,4.26287e+00
99,483.748637,32.214344,1.64597e-01,1.00471e-01,2.84054e+00,2.41431e-01,1.51933e-01,4.09120e+00,2.48542e-01,1.57829e-01,4.20432e+00
100,488.261493,32.546326,1.61906e-01,9.91674e-02,2.79410e+00,2.38010e-01,1.49855e-01,4.03323e+00,2.45041e-01,1.55660e-01,4.14511e+00
101,492.787907,32.875004,1.59216e-01,9.78806e-02,2.74768e+00,2.34555e-01,1.47765e-01,3.97467e+00,2.41504e-01,1.53476e-01,4.08527e+00
102,497.314451,33.212882,1.56528e-01,9.66070e-02,2.70129e+00,2.31066e-01,1.45662e-01,3.91555e+00,2.37930e-01,1.51276e-01,4.02481e+00
