epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
71,736.434193,293.413619,1.44306e-02,6.87521e-03,2.49038e-01,1.57529e-02,7.72405e-03,2.66942e-01,1.59024e-02,7.80795e-03,2.69005e-01
72,747.091516,297.681441,1.44224e-02,6.85952e-03,2.48896e-01,1.57449e-02,7.71109e-03,2.66807e-01,1.58945e-02,7.79527e-03,2.68870e-01
73,757.363506,301.850240,1.44145e-02,6.84355e-03,2.48760e-01,1.57373e-02,7.69791e-03,2.66678e-01,1.58868e-02,7.78237e-03,2.68741e-01
74,767.575637,305.942147,1.44069e-02,6.82896e-03,2.48628e-01,1.57300e-02,7.68618e-03,2.66553e-01,1.58794e-02,7.77092e-03,2.68616e-01
75,778.503855,310.280712,1.43995e-02,6.81460e-03,2.48501e-01,1.57228e-02,7.67471e-03,2.66433e-01,1.58723e-02,7.75974e-03,2.68495e-01
76,789.352882,314.592092,1.43924e-02,6.80050e-03,2.48377e-01,1.57160e-02,7.66349e-03,2.66316e-01,1.58654e-02,7.74882e-03,2.68378e-01
77,800.167088,319.019026,1.43855e-02,6.78695e-03,2.48258e-01,1.57093e-02,7.65274e-03,2.66203e-01,1.58587e-02,7.73837e-03,2.68265e-01
78,810.708842,323.357002,1.43788e-02,6.77393e-03,2.48144e-01,1.57028e-02,7.64242e-03,2.66093e-01,1.58522e-02,7.72834e-03,2.68156e-01
79,821.343397,327.566627,1.43724e-02,6.76130e-03,2.48032e-01,1.56965e-02,7.63242e-03,2.65986e-01,1.58460e-02,7.71866e-03,2.68050e-01
80,831.708665,331.786152,1.43661e-02,6.74859e-03,2.47924e-01,1.56904e-02,7.62221e-03,2.65882e-01,1.58399e-02,7.70874e-03,2.67947e-01
81,841.650482,335.681135,1.43601e-02,6.73694e-03,2.47820e-01,1.56844e-02,7.61297e-03,2.65781e-01,1.58340e-02,7.69977e-03,2.67847e-01
82,852.202592,339.888809,1.43542e-02,6.72567e-03,2.47719e-01,1.56786e-02,7.60404e-03,2.65682e-01,1.58282e-02,7.69112e-03,2.67750e-01
83,862.405032,344.079065,1.43485e-02,6.71436e-03,2.47621e-01,1.56729e-02,7.59504e-03,2.65587e-01,1.58227e-02,7.68239e-03,2.67655e-01
84,872.628470,348.184641,1.43430e-02,6.70387e-03,2.47525e-01,1.56674e-02,7.58685e-03,2.65494e-01,1.58172e-02,7.67447e-03,2.67563e-01
85,882.983980,352.401441,1.43376e-02,6.69309e-03,2.47433e-01,1.56622e-02,7.57832e-03,2.65405e-01,1.58119e-02,7.66617e-03,2.67474e-01
